"","nome_municipio","num_habilidade","ch.total","lc.total","mt.total","cn.total","ch.acertos","lc.acertos","mt.acertos","cn.acertos","ch.acuracia","lc.acuracia","mt.acuracia","cn.acuracia"
"77","Brejo da Madre de Deus",17,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"78","Brejo da Madre de Deus",18,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"79","Brejo da Madre de Deus",19,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"80","Brejo da Madre de Deus",20,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"81","Brejo da Madre de Deus",21,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"82","Brejo da Madre de Deus",22,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"83","Brejo da Madre de Deus",23,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"84","Brejo da Madre de Deus",24,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"85","Brejo da Madre de Deus",25,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"86","Brejo da Madre de Deus",26,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"87","Brejo da Madre de Deus",27,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"88","Brejo da Madre de Deus",28,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"89","Brejo da Madre de Deus",29,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"90","Brejo da Madre de Deus",30,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"91","Cabo de Santo Agostinho",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"92","Cabo de Santo Agostinho",2,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"93","Cabo de Santo Agostinho",3,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"94","Cabo de Santo Agostinho",4,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"95","Cabo de Santo Agostinho",5,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"96","Cabo de Santo Agostinho",6,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"97","Cabo de Santo Agostinho",7,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"98","Cabo de Santo Agostinho",8,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"99","Cabo de Santo Agostinho",9,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"100","Cabo de Santo Agostinho",10,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"101","Cabo de Santo Agostinho",11,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"102","Cabo de Santo Agostinho",12,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"103","Cabo de Santo Agostinho",13,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"104","Cabo de Santo Agostinho",14,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"105","Cabo de Santo Agostinho",15,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"106","Cabo de Santo Agostinho",16,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"107","Cabo de Santo Agostinho",17,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"108","Cabo de Santo Agostinho",18,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"109","Cabo de Santo Agostinho",19,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"110","Cabo de Santo Agostinho",20,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"111","Cabo de Santo Agostinho",21,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"112","Cabo de Santo Agostinho",22,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"113","Cabo de Santo Agostinho",23,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"114","Cabo de Santo Agostinho",24,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"115","Cabo de Santo Agostinho",25,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"116","Cabo de Santo Agostinho",26,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"117","Cabo de Santo Agostinho",27,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"118","Cabo de Santo Agostinho",28,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"119","Cabo de Santo Agostinho",29,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"120","Cabo de Santo Agostinho",30,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"121","Camaragibe",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA
