"","nome_municipio","num_habilidade","ch.total","lc.total","mt.total","cn.total","ch.acertos","lc.acertos","mt.acertos","cn.acertos","ch.acuracia","lc.acuracia","mt.acuracia","cn.acuracia"
"1","Abreu e Lima",1,1684,1684,1684,1684,496,601,496,242,0.294536817102138,0.356888361045131,0.294536817102138,0.143705463182898
"2","Abreu e Lima",2,1684,1684,842,1684,622,1064,85,571,0.369358669833729,0.631828978622328,0.100950118764846,0.339073634204276
"3","Abreu e Lima",3,1684,842,1684,1684,578,295,210,256,0.343230403800475,0.350356294536817,0.124703087885986,0.152019002375297
"4","Abreu e Lima",4,1684,1684,1684,842,268,626,353,168,0.159144893111639,0.371733966745843,0.209619952494062,0.199524940617577
"5","Abreu e Lima",5,842,1684,1684,1684,170,157,306,404,0.201900237529691,0.0932304038004751,0.181710213776722,0.239904988123515
"6","Abreu e Lima",6,1684,3368,842,842,475,625,406,202,0.282066508313539,0.185570071258907,0.482185273159145,0.239904988123515
"7","Abreu e Lima",7,842,1684,842,1684,191,363,240,495,0.226840855106888,0.215558194774347,0.285035629453682,0.293942992874109
"8","Abreu e Lima",8,1684,1684,1684,1684,421,234,317,238,0.25,0.13895486935867,0.188242280285036,0.141330166270784
"9","Abreu e Lima",9,1684,1684,1684,842,668,707,404,321,0.39667458432304,0.419833729216152,0.239904988123515,0.381235154394299
"10","Abreu e Lima",10,842,842,842,842,230,357,249,312,0.273159144893112,0.423990498812352,0.295724465558195,0.370546318289786
"11","Abreu e Lima",11,1684,842,842,842,449,372,205,261,0.266627078384798,0.441805225653207,0.243467933491686,0.309976247030879
"12","Abreu e Lima",12,1684,1684,1684,842,564,964,226,226,0.334916864608076,0.572446555819477,0.134204275534442,0.268408551068884
"13","Abreu e Lima",13,1684,842,842,842,469,172,158,115,0.278503562945368,0.204275534441805,0.187648456057007,0.136579572446556
"14","Abreu e Lima",14,842,1684,842,1684,322,676,234,404,0.382422802850356,0.401425178147268,0.27790973871734,0.239904988123515
"15","Abreu e Lima",15,1684,2526,842,842,311,612,304,143,0.184679334916865,0.242280285035629,0.36104513064133,0.169833729216152
"16","Abreu e Lima",16,842,1684,1684,842,211,419,409,180,0.250593824228029,0.248812351543943,0.242874109263658,0.213776722090261
"17","Abreu e Lima",17,1684,842,842,1684,323,351,166,405,0.191805225653207,0.41686460807601,0.197149643705463,0.240498812351544
"18","Abreu e Lima",18,842,842,842,1684,257,170,190,427,0.305225653206651,0.201900237529691,0.225653206650831,0.253562945368171
"19","Abreu e Lima",19,842,1684,1684,1684,206,575,300,573,0.244655581947743,0.34144893111639,0.178147268408551,0.340261282660333
"20","Abreu e Lima",20,842,1684,842,1684,97,258,284,236,0.11520190023753,0.153206650831354,0.33729216152019,0.140142517814727
"21","Abreu e Lima",21,842,842,1684,1684,333,230,382,257,0.395486935866983,0.273159144893112,0.226840855106888,0.152612826603325
"22","Abreu e Lima",22,842,1684,1684,1684,228,540,316,684,0.270783847980998,0.320665083135392,0.187648456057007,0.406175771971496
"23","Abreu e Lima",23,1684,842,842,842,329,373,133,308,0.195368171021378,0.442992874109264,0.157957244655582,0.365795724465558
"24","Abreu e Lima",24,1684,842,842,1684,630,227,478,291,0.374109263657957,0.269596199524941,0.567695961995249,0.172802850356295
"25","Abreu e Lima",25,842,2526,1684,1684,363,679,307,298,0.431116389548694,0.268804433887569,0.182304038004751,0.176959619952494
"26","Abreu e Lima",26,1684,842,1684,842,424,525,177,200,0.251781472684086,0.623515439429929,0.105106888361045,0.237529691211401
"27","Abreu e Lima",27,842,842,842,842,257,125,187,95,0.305225653206651,0.148456057007126,0.22209026128266,0.112826603325416
"28","Abreu e Lima",28,842,842,1684,842,380,488,417,246,0.451306413301663,0.57957244655582,0.247624703087886,0.292161520190024
"29","Abreu e Lima",29,842,842,1684,842,197,315,565,181,0.23396674584323,0.374109263657957,0.335510688836105,0.214964370546318
"30","Abreu e Lima",30,842,842,842,842,315,349,194,292,0.374109263657957,0.414489311163895,0.230403800475059,0.346793349168646
"31","Afogados da Ingazeira",1,306,306,306,306,105,119,87,46,0.343137254901961,0.388888888888889,0.284313725490196,0.150326797385621
"32","Afogados da Ingazeira",2,306,306,153,306,122,211,13,114,0.398692810457516,0.689542483660131,0.0849673202614379,0.372549019607843
"33","Afogados da Ingazeira",3,306,153,306,306,116,55,48,50,0.379084967320261,0.359477124183007,0.156862745098039,0.163398692810458
"34","Afogados da Ingazeira",4,306,306,306,153,34,117,62,34,0.111111111111111,0.382352941176471,0.202614379084967,0.222222222222222
"35","Afogados da Ingazeira",5,153,306,306,306,45,33,62,69,0.294117647058824,0.107843137254902,0.202614379084967,0.225490196078431
"36","Afogados da Ingazeira",6,306,612,153,153,80,114,84,31,0.261437908496732,0.186274509803922,0.549019607843137,0.202614379084967
"37","Afogados da Ingazeira",7,153,306,153,306,21,52,46,92,0.137254901960784,0.169934640522876,0.300653594771242,0.300653594771242
"38","Afogados da Ingazeira",8,306,306,306,306,71,68,73,41,0.23202614379085,0.222222222222222,0.238562091503268,0.133986928104575
"39","Afogados da Ingazeira",9,306,306,306,153,150,141,87,62,0.490196078431373,0.46078431372549,0.284313725490196,0.405228758169935
