"","nome_municipio","num_habilidade","ch.total","lc.total","mt.total","cn.total","ch.acertos","lc.acertos","mt.acertos","cn.acertos","ch.acuracia","lc.acuracia","mt.acuracia","cn.acuracia"
"1","Abreu e Lima",1,1588,2382,794,1588,536,464,174,338,0.337531486146096,0.194794290512175,0.219143576826196,0.212846347607053
"2","Abreu e Lima",2,794,794,1588,1588,273,548,289,291,0.343828715365239,0.690176322418136,0.181989924433249,0.183249370277078
"3","Abreu e Lima",3,1588,1588,1588,1588,552,376,243,439,0.347607052896725,0.236775818639798,0.153022670025189,0.276448362720403
"4","Abreu e Lima",4,1588,794,1588,794,744,142,318,85,0.468513853904282,0.178841309823678,0.200251889168766,0.107052896725441
"5","Abreu e Lima",5,1588,2382,794,1588,730,496,191,418,0.459697732997481,0.208228379513014,0.240554156171285,0.263224181360202
"6","Abreu e Lima",6,1588,2382,1588,0,703,252,496,0,0.442695214105793,0.105793450881612,0.312342569269521,NA
"7","Abreu e Lima",7,794,1588,794,794,323,351,104,132,0.406801007556675,0.22103274559194,0.130982367758186,0.16624685138539
"8","Abreu e Lima",8,1588,1588,1588,1588,700,189,421,530,0.44080604534005,0.119017632241814,0.265113350125945,0.33375314861461
"9","Abreu e Lima",9,794,794,794,794,185,387,175,251,0.232997481108312,0.487405541561713,0.220403022670025,0.316120906801008
"10","Abreu e Lima",10,794,794,794,794,561,189,283,218,0.706549118387909,0.238035264483627,0.356423173803526,0.27455919395466
"11","Abreu e Lima",11,794,794,794,794,362,282,257,203,0.455919395465995,0.355163727959698,0.32367758186398,0.255667506297229
"12","Abreu e Lima",12,794,1588,1588,794,99,543,486,322,0.124685138539043,0.341939546599496,0.306045340050378,0.405541561712846
"13","Abreu e Lima",13,1588,794,794,794,432,127,263,224,0.272040302267003,0.159949622166247,0.331234256926952,0.282115869017632
"14","Abreu e Lima",14,1588,794,794,1588,527,177,140,436,0.331863979848867,0.222921914357683,0.17632241813602,0.27455919395466
"15","Abreu e Lima",15,794,794,794,1588,541,252,182,380,0.681360201511335,0.317380352644836,0.229219143576826,0.239294710327456
"16","Abreu e Lima",16,1588,4764,794,794,529,1270,98,145,0.333123425692695,0.266582703610411,0.123425692695214,0.182619647355164
"17","Abreu e Lima",17,794,1588,1588,3176,215,304,306,700,0.270780856423174,0.191435768261965,0.192695214105793,0.220403022670025
"18","Abreu e Lima",18,1588,2382,794,1588,767,692,143,322,0.482997481108312,0.290512174643157,0.180100755667506,0.202770780856423
