CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
38;CN;84210;C;17;BRANCA;293;;0
39;CN;97755;C;7;BRANCA;293;;0
40;CN;17509;E;24;BRANCA;293;;0
41;CN;97711;D;1;BRANCA;293;;0
42;CN;87728;B;26;BRANCA;293;;0
43;CN;12091;B;18;BRANCA;293;;0
44;CN;48829;C;8;BRANCA;293;;0
45;CN;47464;A;11;BRANCA;293;;0
1;CN;31940;E;14;ROSA;294;;0
2;CN;16893;A;24;ROSA;294;;0
3;CN;97711;D;1;ROSA;294;;0
4;CN;87728;B;26;ROSA;294;;0
5;CN;30321;D;8;ROSA;294;;0
6;CN;24399;C;23;ROSA;294;;0
7;CN;84210;C;17;ROSA;294;;0
8;CN;40320;B;15;ROSA;294;;0
9;CN;16366;A;1;ROSA;294;;0
10;CN;16901;D;25;ROSA;294;;0
11;CN;86725;B;19;ROSA;294;;0
12;CN;44365;E;30;ROSA;294;;0
13;CN;97445;B;17;ROSA;294;;0
14;CN;97755;C;7;ROSA;294;;0
15;CN;17509;E;24;ROSA;294;;0
16;CN;12091;B;18;ROSA;294;;0
17;CN;48829;C;8;ROSA;294;;0
18;CN;47464;A;11;ROSA;294;;0
19;CN;86572;B;5;ROSA;294;;0
20;CN;28297;D;27;ROSA;294;;0
21;CN;11898;E;14;ROSA;294;;0
22;CN;97272;B;21;ROSA;294;;0
23;CN;18346;E;17;ROSA;294;;0
24;CN;97811;E;16;ROSA;294;;0
25;CN;96212;B;29;ROSA;294;;0
26;CN;96446;E;4;ROSA;294;;0
27;CN;16924;C;15;ROSA;294;;0
28;CN;44548;A;9;ROSA;294;;0
29;CN;44432;D;20;ROSA;294;;0
30;CN;30497;D;3;ROSA;294;;0
31;CN;48366;B;25;ROSA;294;;0
32;CN;97740;E;10;ROSA;294;;0
33;CN;30419;A;18;ROSA;294;;0
34;CN;97497;C;17;ROSA;294;;0
35;CN;24455;A;22;ROSA;294;;0
36;CN;85599;C;20;ROSA;294;;0
37;CN;40112;D;27;ROSA;294;;0
38;CN;45050;D;2;ROSA;294;;0
39;CN;30968;B;2;ROSA;294;;0
40;CN;96483;C;13;ROSA;294;;0
41;CN;37399;A;3;ROSA;294;;0
42;CN;26114;D;28;ROSA;294;;0
43;CN;95618;C;19;ROSA;294;;0
44;CN;8493;C;12;ROSA;294;;0
45;CN;19553;A;5;ROSA;294;;0
1;CN;11898;E;14;BRANCA;307;;1
2;CN;97272;B;21;BRANCA;307;;1
3;CN;64045;E;17;BRANCA;307;;1
4;CN;97811;E;16;BRANCA;307;;1
5;CN;40637;C;26;BRANCA;307;;1
6;CN;8946;A;21;BRANCA;307;;1
7;CN;28618;D;8;BRANCA;307;;1
8;CN;30968;B;2;BRANCA;307;;1
9;CN;96483;C;13;BRANCA;307;;1
10;CN;37399;A;3;BRANCA;307;;1
11;CN;25337;B;29;BRANCA;307;;1
12;CN;96446;E;4;BRANCA;307;;1
13;CN;85599;C;20;BRANCA;307;;1
14;CN;40679;D;27;BRANCA;307;;1
15;CN;30497;D;3;BRANCA;307;;1
16;CN;48366;B;25;BRANCA;307;;1
17;CN;97740;E;10;BRANCA;307;;1
18;CN;30419;A;18;BRANCA;307;;1
19;CN;26114;D;28;BRANCA;307;;1
20;CN;95618;C;19;BRANCA;307;;1
21;CN;8493;C;12;BRANCA;307;;1
22;CN;19553;A;5;BRANCA;307;;1
23;CN;86572;B;5;BRANCA;307;;1
24;CN;28297;D;27;BRANCA;307;;1
25;CN;17893;E;14;BRANCA;307;;1
26;CN;16893;A;24;BRANCA;307;;1
27;CN;86725;B;19;BRANCA;307;;1
28;CN;44365;E;30;BRANCA;307;;1
29;CN;97445;B;17;BRANCA;307;;1
30;CN;8940;C;14;BRANCA;307;;1
31;CN;44548;A;9;BRANCA;307;;1
32;CN;27150;D;18;BRANCA;307;;1
33;CN;40320;B;15;BRANCA;307;;1
34;CN;16366;A;1;BRANCA;307;;1
35;CN;16901;D;25;BRANCA;307;;1
36;CN;30321;D;8;BRANCA;307;;1
37;CN;24399;C;23;BRANCA;307;;1
38;CN;25269;C;20;BRANCA;307;;1
39;CN;97755;C;7;BRANCA;307;;1
40;CN;17769;E;24;BRANCA;307;;1
41;CN;8866;D;17;BRANCA;307;;1
42;CN;87728;B;26;BRANCA;307;;1
43;CN;12091;B;18;BRANCA;307;;1
44;CN;48829;C;8;BRANCA;307;;1
45;CN;47464;A;11;BRANCA;307;;1
1;CH;96431;B;23;AZUL;295;;0
2;CH;86985;C;22;AZUL;295;;0
3;CH;96455;B;26;AZUL;295;;0
4;CH;88207;C;19;AZUL;295;;0
5;CH;29404;C;2;AZUL;295;;0
6;CH;83823;A;4;AZUL;295;;0
7;CH;97414;D;4;AZUL;295;;0
8;CH;27437;C;11;AZUL;295;;0
9;CH;41083;C;16;AZUL;295;;0
10;CH;98123;B;13;AZUL;295;;0
11;CH;88329;E;5;AZUL;295;;0
12;CH;86911;D;29;AZUL;295;;0
13;CH;97744;D;13;AZUL;295;;0
14;CH;85884;B;12;AZUL;295;;0
15;CH;97774;E;21;AZUL;295;;0
16;CH;97290;E;9;AZUL;295;;0
17;CH;54683;A;6;AZUL;295;;0
18;CH;98025;D;30;AZUL;295;;0
19;CH;54217;B;18;AZUL;295;;0
20;CH;95568;D;1;AZUL;295;;0
21;CH;24936;C;7;AZUL;295;;0
22;CH;38717;E;10;AZUL;295;;0
23;CH;86763;C;14;AZUL;295;;0
24;CH;87834;C;25;AZUL;295;;0
25;CH;86885;B;20;AZUL;295;;0
26;CH;62021;B;5;AZUL;295;;0
27;CH;18415;E;8;AZUL;295;;0
28;CH;66550;C;3;AZUL;295;;0
29;CH;97055;A;26;AZUL;295;;0
30;CH;29210;E;30;AZUL;295;;0
31;CH;86787;E;14;AZUL;295;;0
32;CH;88274;D;1;AZUL;295;;0
33;CH;63486;D;8;AZUL;295;;0
34;CH;55998;A;27;AZUL;295;;0
35;CH;84259;D;24;AZUL;295;;0
36;CH;62417;C;28;AZUL;295;;0
37;CH;85304;D;3;AZUL;295;;0
38;CH;11802;D;17;AZUL;295;;0
39;CH;63738;A;27;AZUL;295;;0
40;CH;39993;C;16;AZUL;295;;0
41;CH;97360;A;15;AZUL;295;;0
42;CH;43313;A;21;AZUL;295;;0
43;CH;63607;D;18;AZUL;295;;0
44;CH;97370;B;19;AZUL;295;;0
45;CH;96572;A;6;AZUL;295;;0
1;CH;97774;E;21;AMARELA;296;;0
2;CH;97290;E;9;AMARELA;296;;0
3;CH;96431;B;23;AMARELA;296;;0
4;CH;86985;C;22;AMARELA;296;;0
5;CH;96455;B;26;AMARELA;296;;0
6;CH;88207;C;19;AMARELA;296;;0
7;CH;88329;E;5;AMARELA;296;;0
8;CH;86911;D;29;AMARELA;296;;0
9;CH;97744;D;13;AMARELA;296;;0
10;CH;85884;B;12;AMARELA;296;;0
11;CH;85304;D;3;AMARELA;296;;0
12;CH;11802;D;17;AMARELA;296;;0
13;CH;63738;A;27;AMARELA;296;;0
14;CH;39993;C;16;AMARELA;296;;0
15;CH;27437;C;11;AMARELA;296;;0
16;CH;41083;C;16;AMARELA;296;;0
17;CH;98123;B;13;AMARELA;296;;0
18;CH;29404;C;2;AMARELA;296;;0
19;CH;83823;A;4;AMARELA;296;;0
20;CH;97414;D;4;AMARELA;296;;0
21;CH;54683;A;6;AMARELA;296;;0
22;CH;98025;D;30;AMARELA;296;;0
23;CH;54217;B;18;AMARELA;296;;0
24;CH;97360;A;15;AMARELA;296;;0
25;CH;43313;A;21;AMARELA;296;;0
26;CH;63607;D;18;AMARELA;296;;0
27;CH;86787;E;14;AMARELA;296;;0
28;CH;88274;D;1;AMARELA;296;;0
29;CH;63486;D;8;AMARELA;296;;0
30;CH;55998;A;27;AMARELA;296;;0
31;CH;84259;D;24;AMARELA;296;;0
32;CH;62417;C;28;AMARELA;296;;0
33;CH;18415;E;8;AMARELA;296;;0
34;CH;66550;C;3;AMARELA;296;;0
35;CH;97055;A;26;AMARELA;296;;0
36;CH;29210;E;30;AMARELA;296;;0
37;CH;87834;C;25;AMARELA;296;;0
38;CH;86885;B;20;AMARELA;296;;0
39;CH;62021;B;5;AMARELA;296;;0
40;CH;97370;B;19;AMARELA;296;;0
41;CH;96572;A;6;AMARELA;296;;0
42;CH;95568;D;1;AMARELA;296;;0
43;CH;24936;C;7;AMARELA;296;;0
44;CH;38717;E;10;AMARELA;296;;0
45;CH;86763;C;14;AMARELA;296;;0
1;CH;95568;D;1;BRANCA;297;;0
2;CH;24936;C;7;BRANCA;297;;0
3;CH;38717;E;10;BRANCA;297;;0
4;CH;86763;C;14;BRANCA;297;;0
5;CH;97370;B;19;BRANCA;297;;0
6;CH;96572;A;6;BRANCA;297;;0
7;CH;97360;A;15;BRANCA;297;;0
8;CH;43313;A;21;BRANCA;297;;0
9;CH;63607;D;18;BRANCA;297;;0
10;CH;87834;C;25;BRANCA;297;;0
11;CH;86885;B;20;BRANCA;297;;0
12;CH;62021;B;5;BRANCA;297;;0
13;CH;18415;E;8;BRANCA;297;;0
14;CH;66550;C;3;BRANCA;297;;0
15;CH;97055;A;26;BRANCA;297;;0
16;CH;29210;E;30;BRANCA;297;;0
17;CH;84259;D;24;BRANCA;297;;0
18;CH;62417;C;28;BRANCA;297;;0
19;CH;86787;E;14;BRANCA;297;;0
20;CH;88274;D;1;BRANCA;297;;0
21;CH;63486;D;8;BRANCA;297;;0
22;CH;55998;A;27;BRANCA;297;;0
23;CH;27437;C;11;BRANCA;297;;0
24;CH;41083;C;16;BRANCA;297;;0
25;CH;98123;B;13;BRANCA;297;;0
26;CH;85304;D;3;BRANCA;297;;0
27;CH;11802;D;17;BRANCA;297;;0
28;CH;63738;A;27;BRANCA;297;;0
29;CH;39993;C;16;BRANCA;297;;0
30;CH;88329;E;5;BRANCA;297;;0
31;CH;86911;D;29;BRANCA;297;;0
32;CH;97744;D;13;BRANCA;297;;0
33;CH;85884;B;12;BRANCA;297;;0
34;CH;54683;A;6;BRANCA;297;;0
35;CH;98025;D;30;BRANCA;297;;0
36;CH;54217;B;18;BRANCA;297;;0
37;CH;29404;C;2;BRANCA;297;;0
38;CH;83823;A;4;BRANCA;297;;0
39;CH;97414;D;4;BRANCA;297;;0
40;CH;96431;B;23;BRANCA;297;;0
41;CH;86985;C;22;BRANCA;297;;0
42;CH;96455;B;26;BRANCA;297;;0
43;CH;88207;C;19;BRANCA;297;;0
44;CH;97774;E;21;BRANCA;297;;0
45;CH;97290;E;9;BRANCA;297;;0
1;CH;88329;E;5;ROSA;298;;0
2;CH;86911;D;29;ROSA;298;;0
3;CH;97744;D;13;ROSA;298;;0
4;CH;85884;B;12;ROSA;298;;0
5;CH;85304;D;3;ROSA;298;;0
6;CH;11802;D;17;ROSA;298;;0
7;CH;63738;A;27;ROSA;298;;0
8;CH;39993;C;16;ROSA;298;;0
9;CH;84259;D;24;ROSA;298;;0
10;CH;62417;C;28;ROSA;298;;0
11;CH;86787;E;14;ROSA;298;;0
12;CH;88274;D;1;ROSA;298;;0
13;CH;63486;D;8;ROSA;298;;0
14;CH;55998;A;27;ROSA;298;;0
15;CH;87834;C;25;ROSA;298;;0
16;CH;86885;B;20;ROSA;298;;0
17;CH;62021;B;5;ROSA;298;;0
18;CH;96431;B;23;ROSA;298;;0
19;CH;86985;C;22;ROSA;298;;0
20;CH;96455;B;26;ROSA;298;;0
21;CH;88207;C;19;ROSA;298;;0
22;CH;95568;D;1;ROSA;298;;0
23;CH;24936;C;7;ROSA;298;;0
24;CH;38717;E;10;ROSA;298;;0
25;CH;86763;C;14;ROSA;298;;0
26;CH;54683;A;6;ROSA;298;;0
27;CH;98025;D;30;ROSA;298;;0
28;CH;54217;B;18;ROSA;298;;0
29;CH;97774;E;21;ROSA;298;;0
30;CH;97290;E;9;ROSA;298;;0
31;CH;97370;B;19;ROSA;298;;0
32;CH;96572;A;6;ROSA;298;;0
33;CH;97360;A;15;ROSA;298;;0
34;CH;43313;A;21;ROSA;298;;0
35;CH;63607;D;18;ROSA;298;;0
36;CH;18415;E;8;ROSA;298;;0
37;CH;66550;C;3;ROSA;298;;0
38;CH;97055;A;26;ROSA;298;;0
39;CH;29210;E;30;ROSA;298;;0
40;CH;27437;C;11;ROSA;298;;0
41;CH;41083;C;16;ROSA;298;;0
42;CH;98123;B;13;ROSA;298;;0
43;CH;29404;C;2;ROSA;298;;0
44;CH;83823;A;4;ROSA;298;;0
45;CH;97414;D;4;ROSA;298;;0
1;CH;95568;D;1;BRANCA;308;;1
2;CH;24936;C;7;BRANCA;308;;1
3;CH;38717;E;10;BRANCA;308;;1
4;CH;86763;C;14;BRANCA;308;;1
5;CH;97370;B;19;BRANCA;308;;1
6;CH;96572;A;6;BRANCA;308;;1
7;CH;97360;A;15;BRANCA;308;;1
8;CH;43313;A;21;BRANCA;308;;1
9;CH;63607;D;18;BRANCA;308;;1
10;CH;87834;C;25;BRANCA;308;;1
11;CH;86885;B;20;BRANCA;308;;1
12;CH;62021;B;5;BRANCA;308;;1
13;CH;18415;E;8;BRANCA;308;;1
14;CH;66550;C;3;BRANCA;308;;1
15;CH;97055;A;26;BRANCA;308;;1
16;CH;29210;E;30;BRANCA;308;;1
17;CH;84259;D;24;BRANCA;308;;1
18;CH;62417;C;28;BRANCA;308;;1
19;CH;86787;E;14;BRANCA;308;;1
20;CH;88274;D;1;BRANCA;308;;1
21;CH;63486;D;8;BRANCA;308;;1
22;CH;55998;A;27;BRANCA;308;;1
23;CH;27437;C;11;BRANCA;308;;1
24;CH;41083;C;16;BRANCA;308;;1
25;CH;98123;B;13;BRANCA;308;;1
26;CH;85304;D;3;BRANCA;308;;1
27;CH;11802;D;17;BRANCA;308;;1
28;CH;63738;A;27;BRANCA;308;;1
29;CH;39993;C;16;BRANCA;308;;1
30;CH;88329;E;5;BRANCA;308;;1
31;CH;86911;D;29;BRANCA;308;;1
32;CH;97744;D;13;BRANCA;308;;1
33;CH;85884;B;12;BRANCA;308;;1
34;CH;54683;A;6;BRANCA;308;;1
35;CH;98025;D;30;BRANCA;308;;1
36;CH;54217;B;18;BRANCA;308;;1
37;CH;29404;C;2;BRANCA;308;;1
38;CH;83823;A;4;BRANCA;308;;1
39;CH;97414;D;4;BRANCA;308;;1
40;CH;96431;B;23;BRANCA;308;;1
41;CH;86985;C;22;BRANCA;308;;1
42;CH;96455;B;26;BRANCA;308;;1
43;CH;88207;C;19;BRANCA;308;;1
44;CH;97774;E;21;BRANCA;308;;1
45;CH;97290;E;9;BRANCA;308;;1
1;LC;23559;D;6;AMARELA;300;0;0
2;LC;30170;E;8;AMARELA;300;0;0
3;LC;39570;C;6;AMARELA;300;0;0
4;LC;27055;E;7;AMARELA;300;0;0
5;LC;40290;A;5;AMARELA;300;0;0
6;LC;55307;C;5;AMARELA;300;1;0
7;LC;54904;C;6;AMARELA;300;1;0
8;LC;22565;E;5;AMARELA;300;1;0
9;LC;55970;B;7;AMARELA;300;1;0
10;LC;23733;B;8;AMARELA;300;1;0
11;LC;96818;D;19;AMARELA;300;;0
12;LC;67813;A;2;AMARELA;300;;0
13;LC;49264;D;28;AMARELA;300;;0
14;LC;97334;E;15;AMARELA;300;;0
15;LC;68217;B;29;AMARELA;300;;0
16;LC;45089;A;14;AMARELA;300;;0
17;LC;13547;B;25;AMARELA;300;;0
18;LC;21776;E;16;AMARELA;300;;0
19;LC;17194;A;16;AMARELA;300;;0
20;LC;86338;A;23;AMARELA;300;;0
21;LC;40014;E;27;AMARELA;300;;0
22;LC;97420;D;16;AMARELA;300;;0
23;LC;83000;C;16;AMARELA;300;;0
24;LC;50236;B;12;AMARELA;300;;0
25;LC;35682;C;18;AMARELA;300;;0
26;LC;97113;A;20;AMARELA;300;;0
27;LC;83851;B;22;AMARELA;300;;0
28;LC;85805;D;18;AMARELA;300;;0
29;LC;96670;C;3;AMARELA;300;;0
30;LC;38027;E;17;AMARELA;300;;0
31;LC;97949;B;17;AMARELA;300;;0
32;LC;96667;A;3;AMARELA;300;;0
33;LC;82375;D;21;AMARELA;300;;0
34;LC;97945;C;16;AMARELA;300;;0
35;LC;96509;E;1;AMARELA;300;;0
36;LC;98005;B;26;AMARELA;300;;0
37;LC;96640;A;1;AMARELA;300;;0
38;LC;61388;A;12;AMARELA;300;;0
39;LC;61413;E;4;AMARELA;300;;0
40;LC;98083;C;9;AMARELA;300;;0
41;LC;97244;B;10;AMARELA;300;;0
42;LC;98151;B;11;AMARELA;300;;0
43;LC;97379;C;30;AMARELA;300;;0
44;LC;27677;B;13;AMARELA;300;;0
45;LC;28735;D;1;AMARELA;300;;0
46;LC;55655;A;24;AMARELA;300;;0
47;LC;86586;B;18;AMARELA;300;;0
48;LC;39973;E;25;AMARELA;300;;0
49;LC;96749;B;16;AMARELA;300;;0
50;LC;97467;B;24;AMARELA;300;;0
1;LC;30170;E;8;CINZA;302;0;0
2;LC;23559;D;6;CINZA;302;0;0
3;LC;27055;E;7;CINZA;302;0;0
4;LC;39570;C;6;CINZA;302;0;0
5;LC;40290;A;5;CINZA;302;0;0
6;LC;54904;C;6;CINZA;302;1;0
7;LC;55307;C;5;CINZA;302;1;0
8;LC;55970;B;7;CINZA;302;1;0
9;LC;23733;B;8;CINZA;302;1;0
10;LC;22565;E;5;CINZA;302;1;0
11;LC;96818;D;19;CINZA;302;;0
12;LC;39973;E;25;CINZA;302;;0
13;LC;96749;B;16;CINZA;302;;0
14;LC;97467;B;24;CINZA;302;;0
15;LC;27677;B;13;CINZA;302;;0
16;LC;28735;D;1;CINZA;302;;0
17;LC;55655;A;24;CINZA;302;;0
18;LC;86586;B;18;CINZA;302;;0
19;LC;98083;C;9;CINZA;302;;0
20;LC;97244;B;10;CINZA;302;;0
21;LC;98151;B;11;CINZA;302;;0
22;LC;97379;C;30;CINZA;302;;0
23;LC;96670;C;3;CINZA;302;;0
24;LC;38027;E;17;CINZA;302;;0
25;LC;97949;B;17;CINZA;302;;0
26;LC;96667;A;3;CINZA;302;;0
27;LC;82375;D;21;CINZA;302;;0
28;LC;97945;C;16;CINZA;302;;0
29;LC;96509;E;1;CINZA;302;;0
30;LC;98005;B;26;CINZA;302;;0
31;LC;96640;A;1;CINZA;302;;0
32;LC;61388;A;12;CINZA;302;;0
33;LC;61413;E;4;CINZA;302;;0
34;LC;17194;A;16;CINZA;302;;0
35;LC;86338;A;23;CINZA;302;;0
36;LC;40014;E;27;CINZA;302;;0
37;LC;97420;D;16;CINZA;302;;0
38;LC;83000;C;16;CINZA;302;;0
39;LC;50236;B;12;CINZA;302;;0
40;LC;35682;C;18;CINZA;302;;0
41;LC;97113;A;20;CINZA;302;;0
42;LC;83851;B;22;CINZA;302;;0
43;LC;85805;D;18;CINZA;302;;0
44;LC;68217;B;29;CINZA;302;;0
45;LC;45089;A;14;CINZA;302;;0
46;LC;13547;B;25;CINZA;302;;0
47;LC;21776;E;16;CINZA;302;;0
48;LC;67813;A;2;CINZA;302;;0
49;LC;49264;D;28;CINZA;302;;0
50;LC;97334;E;15;CINZA;302;;0
1;LC;39570;C;6;AZUL;299;0;0
2;LC;27055;E;7;AZUL;299;0;0
3;LC;23559;D;6;AZUL;299;0;0
4;LC;30170;E;8;AZUL;299;0;0
5;LC;40290;A;5;AZUL;299;0;0
6;LC;55307;C;5;AZUL;299;1;0
7;LC;54904;C;6;AZUL;299;1;0
8;LC;23733;B;8;AZUL;299;1;0
9;LC;22565;E;5;AZUL;299;1;0
10;LC;55970;B;7;AZUL;299;1;0
11;LC;96818;D;19;AZUL;299;;0
12;LC;68217;B;29;AZUL;299;;0
13;LC;45089;A;14;AZUL;299;;0
14;LC;13547;B;25;AZUL;299;;0
15;LC;21776;E;16;AZUL;299;;0
16;LC;35682;C;18;AZUL;299;;0
17;LC;97113;A;20;AZUL;299;;0
18;LC;83851;B;22;AZUL;299;;0
19;LC;85805;D;18;AZUL;299;;0
20;LC;67813;A;2;AZUL;299;;0
21;LC;49264;D;28;AZUL;299;;0
22;LC;97334;E;15;AZUL;299;;0
23;LC;96667;A;3;AZUL;299;;0
24;LC;82375;D;21;AZUL;299;;0
25;LC;97945;C;16;AZUL;299;;0
26;LC;96509;E;1;AZUL;299;;0
27;LC;97420;D;16;AZUL;299;;0
28;LC;83000;C;16;AZUL;299;;0
29;LC;50236;B;12;AZUL;299;;0
30;LC;39973;E;25;AZUL;299;;0
31;LC;96749;B;16;AZUL;299;;0
32;LC;97467;B;24;AZUL;299;;0
33;LC;96670;C;3;AZUL;299;;0
34;LC;38027;E;17;AZUL;299;;0
35;LC;97949;B;17;AZUL;299;;0
36;LC;17194;A;16;AZUL;299;;0
37;LC;86338;A;23;AZUL;299;;0
38;LC;40014;E;27;AZUL;299;;0
39;LC;98005;B;26;AZUL;299;;0
40;LC;96640;A;1;AZUL;299;;0
41;LC;61388;A;12;AZUL;299;;0
42;LC;61413;E;4;AZUL;299;;0
43;LC;98083;C;9;AZUL;299;;0
44;LC;97244;B;10;AZUL;299;;0
45;LC;98151;B;11;AZUL;299;;0
46;LC;97379;C;30;AZUL;299;;0
47;LC;27677;B;13;AZUL;299;;0
48;LC;28735;D;1;AZUL;299;;0
49;LC;55655;A;24;AZUL;299;;0
50;LC;86586;B;18;AZUL;299;;0
1;LC;27055;E;7;ROSA;301;0;0
2;LC;30170;E;8;ROSA;301;0;0
3;LC;39570;C;6;ROSA;301;0;0
4;LC;23559;D;6;ROSA;301;0;0
5;LC;40290;A;5;ROSA;301;0;0
6;LC;23733;B;8;ROSA;301;1;0
7;LC;55970;B;7;ROSA;301;1;0
8;LC;22565;E;5;ROSA;301;1;0
9;LC;54904;C;6;ROSA;301;1;0
10;LC;55307;C;5;ROSA;301;1;0
11;LC;96818;D;19;ROSA;301;;0
12;LC;17194;A;16;ROSA;301;;0
