CO_POSICAO;SG_AREA;CO_ITEM;TX_GABARITO;CO_HABILIDADE;TX_COR;CO_PROVA;TP_LINGUA;IN_ITEM_ADAPTADO
1;CN;12091;B;18;AZUL;291;;0
2;CN;48829;C;8;AZUL;291;;0
3;CN;47464;A;11;AZUL;291;;0
4;CN;97711;D;1;AZUL;291;;0
5;CN;87728;B;26;AZUL;291;;0
6;CN;97755;C;7;AZUL;291;;0
7;CN;17509;E;24;AZUL;291;;0
8;CN;30321;D;8;AZUL;291;;0
9;CN;24399;C;23;AZUL;291;;0
10;CN;84210;C;17;AZUL;291;;0
11;CN;40320;B;15;AZUL;291;;0
12;CN;16366;A;1;AZUL;291;;0
13;CN;16901;D;25;AZUL;291;;0
14;CN;86572;B;5;AZUL;291;;0
15;CN;28297;D;27;AZUL;291;;0
16;CN;16924;C;15;AZUL;291;;0
17;CN;44548;A;9;AZUL;291;;0
18;CN;44432;D;20;AZUL;291;;0
19;CN;86725;B;19;AZUL;291;;0
20;CN;44365;E;30;AZUL;291;;0
21;CN;97445;B;17;AZUL;291;;0
22;CN;30497;D;3;AZUL;291;;0
23;CN;48366;B;25;AZUL;291;;0
24;CN;97740;E;10;AZUL;291;;0
25;CN;30419;A;18;AZUL;291;;0
26;CN;26114;D;28;AZUL;291;;0
27;CN;95618;C;19;AZUL;291;;0
28;CN;8493;C;12;AZUL;291;;0
29;CN;19553;A;5;AZUL;291;;0
30;CN;31940;E;14;AZUL;291;;0
31;CN;16893;A;24;AZUL;291;;0
32;CN;85599;C;20;AZUL;291;;0
33;CN;40112;D;27;AZUL;291;;0
34;CN;96212;B;29;AZUL;291;;0
35;CN;96446;E;4;AZUL;291;;0
36;CN;45050;D;2;AZUL;291;;0
37;CN;30968;B;2;AZUL;291;;0
38;CN;96483;C;13;AZUL;291;;0
39;CN;37399;A;3;AZUL;291;;0
40;CN;97497;C;17;AZUL;291;;0
41;CN;24455;A;22;AZUL;291;;0
42;CN;11898;E;14;AZUL;291;;0
43;CN;97272;B;21;AZUL;291;;0
44;CN;18346;E;17;AZUL;291;;0
45;CN;97811;E;16;AZUL;291;;0
1;CN;97711;D;1;AMARELA;292;;0
2;CN;87728;B;26;AMARELA;292;;0
3;CN;26114;D;28;AMARELA;292;;0
4;CN;95618;C;19;AMARELA;292;;0
5;CN;8493;C;12;AMARELA;292;;0
6;CN;19553;A;5;AMARELA;292;;0
7;CN;16924;C;15;AMARELA;292;;0
8;CN;44548;A;9;AMARELA;292;;0
9;CN;44432;D;20;AMARELA;292;;0
10;CN;40320;B;15;AMARELA;292;;0
11;CN;16366;A;1;AMARELA;292;;0
12;CN;16901;D;25;AMARELA;292;;0
13;CN;12091;B;18;AMARELA;292;;0
14;CN;48829;C;8;AMARELA;292;;0
15;CN;47464;A;11;AMARELA;292;;0
16;CN;86572;B;5;AMARELA;292;;0
17;CN;28297;D;27;AMARELA;292;;0
18;CN;11898;E;14;AMARELA;292;;0
19;CN;97272;B;21;AMARELA;292;;0
20;CN;18346;E;17;AMARELA;292;;0
21;CN;97811;E;16;AMARELA;292;;0
22;CN;97755;C;7;AMARELA;292;;0
23;CN;17509;E;24;AMARELA;292;;0
24;CN;85599;C;20;AMARELA;292;;0
25;CN;40112;D;27;AMARELA;292;;0
26;CN;45050;D;2;AMARELA;292;;0
27;CN;30968;B;2;AMARELA;292;;0
28;CN;96483;C;13;AMARELA;292;;0
29;CN;37399;A;3;AMARELA;292;;0
30;CN;30321;D;8;AMARELA;292;;0
31;CN;24399;C;23;AMARELA;292;;0
32;CN;84210;C;17;AMARELA;292;;0
33;CN;86725;B;19;AMARELA;292;;0
34;CN;44365;E;30;AMARELA;292;;0
35;CN;97445;B;17;AMARELA;292;;0
36;CN;96212;B;29;AMARELA;292;;0
37;CN;96446;E;4;AMARELA;292;;0
38;CN;30497;D;3;AMARELA;292;;0
39;CN;48366;B;25;AMARELA;292;;0
40;CN;97740;E;10;AMARELA;292;;0
41;CN;30419;A;18;AMARELA;292;;0
42;CN;31940;E;14;AMARELA;292;;0
43;CN;16893;A;24;AMARELA;292;;0
44;CN;97497;C;17;AMARELA;292;;0
45;CN;24455;A;22;AMARELA;292;;0
1;CN;11898;E;14;BRANCA;293;;0
2;CN;97272;B;21;BRANCA;293;;0
3;CN;18346;E;17;BRANCA;293;;0
4;CN;97811;E;16;BRANCA;293;;0
5;CN;97497;C;17;BRANCA;293;;0
6;CN;24455;A;22;BRANCA;293;;0
7;CN;45050;D;2;BRANCA;293;;0
8;CN;30968;B;2;BRANCA;293;;0
9;CN;96483;C;13;BRANCA;293;;0
10;CN;37399;A;3;BRANCA;293;;0
11;CN;96212;B;29;BRANCA;293;;0
12;CN;96446;E;4;BRANCA;293;;0
13;CN;85599;C;20;BRANCA;293;;0
14;CN;40112;D;27;BRANCA;293;;0
15;CN;30497;D;3;BRANCA;293;;0
16;CN;48366;B;25;BRANCA;293;;0
17;CN;97740;E;10;BRANCA;293;;0
18;CN;30419;A;18;BRANCA;293;;0
19;CN;26114;D;28;BRANCA;293;;0
20;CN;95618;C;19;BRANCA;293;;0
21;CN;8493;C;12;BRANCA;293;;0
22;CN;19553;A;5;BRANCA;293;;0
23;CN;86572;B;5;BRANCA;293;;0
24;CN;28297;D;27;BRANCA;293;;0
25;CN;31940;E;14;BRANCA;293;;0
26;CN;16893;A;24;BRANCA;293;;0
27;CN;86725;B;19;BRANCA;293;;0
28;CN;44365;E;30;BRANCA;293;;0
29;CN;97445;B;17;BRANCA;293;;0
30;CN;16924;C;15;BRANCA;293;;0
31;CN;44548;A;9;BRANCA;293;;0
32;CN;44432;D;20;BRANCA;293;;0
33;CN;40320;B;15;BRANCA;293;;0
34;CN;16366;A;1;BRANCA;293;;0
35;CN;16901;D;25;BRANCA;293;;0
36;CN;30321;D;8;BRANCA;293;;0
37;CN;24399;C;23;BRANCA;293;;0
