"","nome_municipio","num_habilidade","ch.total","lc.total","mt.total","cn.total","ch.acertos","lc.acertos","mt.acertos","cn.acertos","ch.acuracia","lc.acuracia","mt.acuracia","cn.acuracia"
"1","Abreu e Lima",1,0,834,0,0,0,304,0,0,NA,0.364508393285372,NA,NA
"2","Abreu e Lima",2,0,834,0,0,0,193,0,0,NA,0.231414868105516,NA,NA
"3","Abreu e Lima",3,0,834,0,0,0,256,0,0,NA,0.306954436450839,NA,NA
"4","Abreu e Lima",4,0,834,0,0,0,141,0,0,NA,0.169064748201439,NA,NA
"5","Abreu e Lima",5,0,2908,0,0,0,731,0,0,NA,0.251375515818432,NA,NA
"6","Abreu e Lima",6,0,2502,0,0,0,717,0,0,NA,0.286570743405276,NA,NA
"7","Abreu e Lima",7,0,1668,0,0,0,369,0,0,NA,0.221223021582734,NA,NA
"8","Abreu e Lima",8,0,834,0,0,0,185,0,0,NA,0.221822541966427,NA,NA
"9","Abreu e Lima",9,0,1668,0,0,0,440,0,0,NA,0.26378896882494,NA,NA
"10","Abreu e Lima",10,0,834,0,0,0,295,0,0,NA,0.353717026378897,NA,NA
"11","Abreu e Lima",11,0,834,0,0,0,116,0,0,NA,0.139088729016787,NA,NA
"12","Abreu e Lima",12,0,1668,0,0,0,591,0,0,NA,0.35431654676259,NA,NA
"13","Abreu e Lima",13,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"14","Abreu e Lima",14,0,2502,0,0,0,578,0,0,NA,0.23101518784972,NA,NA
"15","Abreu e Lima",15,0,1668,0,0,0,440,0,0,NA,0.26378896882494,NA,NA
"16","Abreu e Lima",16,0,1668,0,0,0,579,0,0,NA,0.347122302158273,NA,NA
"17","Abreu e Lima",17,0,3336,0,0,0,1006,0,0,NA,0.301558752997602,NA,NA
"18","Abreu e Lima",18,0,1668,0,0,0,479,0,0,NA,0.287170263788969,NA,NA
"19","Abreu e Lima",19,0,1668,0,0,0,437,0,0,NA,0.261990407673861,NA,NA
"20","Abreu e Lima",20,0,834,0,0,0,242,0,0,NA,0.290167865707434,NA,NA
"21","Abreu e Lima",21,0,2502,0,0,0,739,0,0,NA,0.295363709032774,NA,NA
"22","Abreu e Lima",22,0,834,0,0,0,283,0,0,NA,0.339328537170264,NA,NA
"23","Abreu e Lima",23,0,834,0,0,0,373,0,0,NA,0.447242206235012,NA,NA
"24","Abreu e Lima",24,0,1668,0,0,0,488,0,0,NA,0.292565947242206,NA,NA
"25","Abreu e Lima",25,0,834,0,0,0,257,0,0,NA,0.308153477218225,NA,NA
"26","Abreu e Lima",26,0,834,0,0,0,172,0,0,NA,0.206235011990408,NA,NA
"27","Abreu e Lima",27,0,834,0,0,0,212,0,0,NA,0.254196642685851,NA,NA
"28","Abreu e Lima",28,0,1668,0,0,0,438,0,0,NA,0.262589928057554,NA,NA
"29","Abreu e Lima",29,0,834,0,0,0,250,0,0,NA,0.299760191846523,NA,NA
"30","Abreu e Lima",30,0,834,0,0,0,286,0,0,NA,0.342925659472422,NA,NA
"31","Afogados da Ingazeira",1,0,217,0,0,0,92,0,0,NA,0.423963133640553,NA,NA
"32","Afogados da Ingazeira",2,0,217,0,0,0,51,0,0,NA,0.235023041474654,NA,NA
"33","Afogados da Ingazeira",3,0,217,0,0,0,80,0,0,NA,0.368663594470046,NA,NA
"34","Afogados da Ingazeira",4,0,217,0,0,0,41,0,0,NA,0.188940092165899,NA,NA
